,Date,Exercise,Weights,Sets,Reps,RPE,Mobility,Notes
0,12/15/19,high bar,"[345.0, 315.0]","[1, 4]","[6, 6]","[None, None]",jts squat mobility and warmup,"top set was 7.5,  were technically sound, sets were rpe 7, 7.5, 7.5, 8, last set just lined up under the bar uneven but everything else was fine"
1,12/15/19,incline bench,[155.0],[3],[6],[None],jts squat mobility and warmup,sets done at rpe 6
2,12/15/19,snatch grip deadlift,[225.0],[3],[15],[None],jts squat mobility and warmup,conditioning is fucking shit
3,12/17/19,2” board press,"[245.0, 225.0]","[2, 2]","[6, 6]","[None, None]",jts bench mobility and warmup,"feels good on positioning and no pain anywhere, sets were rpe 9,10,8,9"
4,12/17/19,comp deadlift,"[425.0, 380.0]","[1, 5]","[4, 4]","[None, None]",jts bench mobility and warmup,"need to keep upper back slightly more straight, top set was rpe 8, back/offs were 7, 7.5, 7.5, 7, 7.5"
5,12/17/19,low bar pin squat,[275.0],[3],[6],[None],jts bench mobility and warmup,"trying not to irritate hip, zero hip irritation, all sets rpe sub 6"
6,12/19/19,high bar,[325.0],[4],[6],[None],jts squat mobility and warmup,"every set feels clean and absolutely no pain, in pocket, sets done in rpe 7, 7.5, 7.5,"
7,12/19/19,4” block pull,[335.0],[2],[4],[None],jts squat mobility and warmup,"felt good just very sore back so is a comfortable rpe 6, fully lockout since next competition is conventional"
8,12/19/19,military press,[115.0],[4],[6],[None],jts squat mobility and warmup,"sore shoulder but feels fine, sets done at rpe 6, 6, 6.5, 6.5"
9,12/21/19,comp bench,"[265.0, 170.0, 155.0]","[1, 1, 4]","[1, 6, 6]","[9.0, None, None]",t spine and jts mobility and warmup,"single moved very very well considering the tolerance for singles isn’t there for bench anymore, all sets rpe sub 6"
10,12/21/19,skull crushers,[65.0],[3],[15],[None],t spine and jts mobility and warmup,"15lb bar assuming, slight pressure on elbow but very good tricep exercise"
11,12/23/19,high bar,"[355.0, 325.0]","[1, 4]","[8, 8]","[None, None]",t spine and jts mobility and warmup,"great sets, no pain, everything rpe 8"
12,12/23/19,incline bench,[165.0],[3],[8],[None],t spine and jts mobility and warmup,"very smooth, all sets around rpe 7"
13,12/23/19,straight bar bicep curls,[60.0],[3],[15],[None],t spine and jts mobility and warmup,all sets rpe 7 or less
14,12/23/19,snatch grip deadlift,[235.0],[2],[15],[None],t spine and jts mobility and warmup,"threw up after first set, cancelled last one, not worth it"
15,12/24/19,2” board press,"[225.0, 210.0]","[1, 3]","[8, 8]","[None, None]",no mobility,did top set with a 1” board on accident and following sets with 2”
16,12/25/19,comp deadlift,"[405.0, 375.0, 360.0]","[1, 1, 4]","[6, 6, 6]","[None, None, None]",jts mobility and warmup,"with soreness top set was still rpe 7.5, had to adjust fatigue after first backdown to “4” after the rpe 9.5 375lb set, technique is feeling completely dialed in, other backdown sets were rpe 8, 8, 7.5, 8, last set done without straps or chalk"
17,12/25/19,low bar pin squat,[295.0],[3],[8],[None],jts mobility and warmup,"warmups feeling amazing, facing away from mirror from now on, all sets were rpe 7"
18,12/27/19,comp squat,[315.0],[3],[5],[None],t spine & jts mobility & warmup,"positioning feels fantastic, warmups felt great, all sets rpe sub 6"
19,12/27/19,rdl,[335.0],[4],[7],[None],t spine & jts mobility & warmup,all sets done at rpe 7
20,12/27/19,military press,[125.0],[3],[5],[None],t spine & jts mobility & warmup,all sets rpe 7
21,12/28/19,comp bench,"[245.0, 200.0, 185.0]","[1, 1, 4]","[1, 5, 5]","[None, None, None]",t spine & jts mobility & warmup,"top single was long pause and rpe 8, top set of 5 was rpe sub 6,  were all sub 6"
22,12/28/19,single arm face pulls,[30.0],[3],[15],[None],t spine & jts mobility & warmup,"all easy, do 2 hands in the future for better connection"
23,12/28/19,skull crushers,[70.0],[3],[15],[None],t spine & jts mobility & warmup,"a lot more comfortable than last week, rpe 7,8,9"
24,12/30/19,comp squat,"[350.0, 325.0]","[1, 4]","[6, 6]","[None, None]",t spine & jts mobility & warmup,"top set was rpe sub 6, form felt entirely in pocket, back off sets were sub 6, 0 pain, torque feet outwards and slightly bend knees into position while staying over mid foot"
25,12/30/19,incline bench,[175.0],[3],[6],[None],t spine & jts mobility & warmup,"felt great on joints and muscles, sets were rpe 7, 7, 7"
26,12/30/19,preacher ez bar curls,[65.0],[3],[12],[None],t spine & jts mobility & warmup,assuming 15lb bar
27,12/30/19,lat pulldown,[130.0],[3],[12],[None],t spine & jts mobility & warmup,"sets were rpe 7.5, 8, 8"
28,12/30/19,snatch grip deadlift,[255.0],[3],[10],[None],t spine & jts mobility & warmup,strength could handle way more reps but conditioning is the limiting factor
29,12/31/19,2” board press,[225.0],[4],[6],[None],t spine mobility & warmup,all sets rpe 7/7.5
30,12/31/19,rope tricep extensions,[105.0],[3],[12],[None],t spine mobility & warmup,all sets rpe 7/7.5
31,1/1/20,conventional deadlift,"[525.0, 370.0, 345.0]","[1, 1, 3]","[1, 5, 5]","[None, None, None]",t spine & jts mobility & warmup,"done after a bad night of drinking, internally rotate elbows to allow for better positioning, top set of 5 was rpe 7,  were sub 6 just tired from night/day activities, cancelled the last 2 sets of  since warmups for single accounted for some of that volume"
32,1/1/20,low bar pin squat,[315.0],[3],[6],[None],t spine & jts mobility & warmup,"rpe 7 sets, focus on eccentric and everything else will fall into place"
33,1/2/20,comp squat,[340.0],[3],[6],[None],"bike warmup since havent moved that much today - 12 min @ 4 intensity // slight hamstring soreness showing up, 2 miles total distance , foam rolling, bracing drills, jts mobility & warmup","sets were rpe 7.5, 7, 6.5 because of bloating from food and poor sleep, lower back fatigue is definitely present, form still feels entirely in pocket , 0 hip pain feels great, sets got better and better"
34,1/2/20,rdl,[315.0],[4],[8],[None],"bike warmup since havent moved that much today - 12 min @ 4 intensity // slight hamstring soreness showing up, 2 miles total distance , foam rolling, bracing drills, jts mobility & warmup","315 is perfect weight considering back soreness, lower back is shot after these sets"
35,1/2/20,military press,[130.0],[3],[6],[None],"bike warmup since havent moved that much today - 12 min @ 4 intensity // slight hamstring soreness showing up, 2 miles total distance , foam rolling, bracing drills, jts mobility & warmup","sets were rpe 6.5, 7.5, 7.5"
36,1/4/20,comp bench,"[210.0, 195.0]","[1, 4]","[6, 6]","[None, None]",no mobility,"practicing new bar path and elbow position, needs some getting use to, extremely smooth sets, essentially a t/shirt press"
37,1/4/20,face pulls,[75.0],[3],[15],[None],no mobility,can feel rear delts much much more with 2 hand variation
