,Date,Exercise,Weights,Sets,Reps,RPE,Notes
0, 5/31/19,dips,[45.0],[3],[8],[None],very difficult rpe10 every set
1, 6/2/19,tng bench,[185.0],[3],[10],[None],rpe6 sleeved without much leg drive and quality sleep
2, 6/2/19,beltless high bar,[275.0],[3],[8],[None],"feels very good considering sleep schedule, rpe8"
3, 6/3/19,comp bench,[195.0],[3],[10],[None],rpe8 good and smooth
4, 6/3/19,pause beltless sumo deadlift,"[425.0, 375.0]","[1, 4]","[1, 5]","[None, None]",smooth but heavy
5, 6/4/19,close grip bench,[185.0],[3],[8],[None],rpe8 smooth
6, 6/4/19,beltless pause low bar squat,"[385.0, 345.0]","[1, 4]","[1, 3]","[None, None]",every rep rpe10 felt awful couldn’t do 355 for any sets
7, 6/7/19,comp bench,[230.0],[6],[3],[None],"felt good rpe7.5, toes instead of heels felt bad, head down felt better than head up"
8, 6/7/19,conventional beltless deadlift,[345.0],[2],[9],[None],back fatigued feels good with rolling technique
9, 6/9/19,tng bench,[195.0],[3],[12],[None],"sleeveless, sets in rpe 8,9,10"
10, 6/9/19,beltless high bar,[280.0],[3],[9],[None],"every set hard, technique failing at the 8th and 9th rep / last set is most sound"
11, 6/10/19,comp bench,[205.0],[3],[10],[None],"sleeved, first set rpe8, last 2 sets rpe10 fatigued from yesterday bench session"
12, 6/10/19,beltless pause sumo deadlift,[395.0],[5],[5],[None],"had to psychologically arouse for every set, set 1/3 rpe7, set 4/5 rpe 9"
13, 6/10/19,incline dumbbell bench,[55.0],[3],[12],[None],short rest periods rpe6
14, 6/12/19,beltless pause low bar squat,[345.0],[5],[3],[None],so smooth and felt better than any other week
15, 6/12/19,close grip bench,[190.0],[3],[9],[None],"very easy rpe 6,7,7 sleeveless"
16, 6/19/19,comp bench,"[215.0, 270.0]","[1, 1]","[10, 1]","[None, None]","10 set was rpe 8, single was misgrooved but fast"
17, 6/19/19,beltless pause sumo,"[455.0, 365.0]","[1, 2]","[1, 5]","[None, None]","easy rpe 9 single and sets were difficult, single and first backoff set was strapless"
18, 6/20/19,beltless pause low bar squat,"[405.0, 315.0]","[1, 3]","[1, 3]","[None, None]","single was good pause and fast,  taxing but fast"
19, 6/21/19,comp bench,[225.0],[4],[3],[None],"felt slow, not feeling good generally today / slow and sluggish"
20, 6/21/19,beltless conventional deadlift,[315.0],[1],[8],[None],felt very strong despite stomach ache
21, 6/24/19,comp bench,[205.0],[5],[8],[None],felt really good with sore lats
22, 6/24/19,beltless sumo deadlift,"[475.0, 385.0]","[1, 5]","[1, 3]","[None, None]","deadlift party had to max, missed 515 because of strength and mis positioning / working sets felt solid, just extreme lat soreness from tubing"
23, 6/24/19,inverted rows,[0.0],[5],[8],[None],no weight because of late
24, 6/24/19,incline dumbbell press,[60.0],[3],[8],[None],no weight increase because of soreness
25, 6/25/19,close grip bench,[225.0],[5],[3],[None],"sleeveless, smooth, all sets rpe 7, trying to aim lower on chest for highest point"
26, 6/25/19,beltless low bar squat,[320.0],[3],[5],[None],very smooth with closer stance despite extreme erector fatigue
27, 6/27/19,wide grip rdl,[275.0],[5],[5],[None],"good weight, hard to keep positioning"
28, 6/28/19,comp bench,[215.0],[5],[5],[None],"left shoulder flaring up, felt smooth with heels up"
29, 6/28/19,beltless conventional deadlift,[345.0],[5],[5],[None],felt smooth and explosive
30, 6/28/19,incline dumbbell flys,[25.0],[4],[10],[None],increase by 10lb next week
31, 6/28/19,incline dumbbell press,[65.0],[4],[10],[None],solid sets
32, 6/29/19,tng bench,[205.0],[4],[10],[None],"sleeveless, rpe 7,8,10,  each set respectively"
33, 6/29/19,beltless high bar,[275.0],[3],[10],[None],"smooth, very hard and tiring"
34, 6/29/19,band face pulls,[5.0],[1],[30],[None],40
35, 6/29/19,alternating hammer curls,[30.0],[5],[10],[None],"too easy, 35s next 5x10"
36, 7/1/19,comp bench,"[250.0, 215.0]","[1, 4]","[1, 8]","[None, None]","single was rpe 6, sets rpe 7, 8, 9, 10"
