,Date,Exercise,Weights,Sets,Reps,RPE,Mobility,Notes
0,5/3/20,pause comp squat,[315.0],[3],[3],[6.0],dawson warmup,"right on target with rpe, trying to engage upper back and evenly descent as much as possible, pause needs to be longer next week"
1,5/3/20,comp bench,[285.0],[1],[1],[8.0],dawson warmup,"true 8, shoulder irritated from different warmups but will fix in future"
2,5/3/20,close grip bench,[225.0],[3],[6],[6.0],dawson warmup,"great starting point, focus on upper back tightness, right on target rpe"
3,5/4/20,comp squat,"[425.0, 375.0]","[1, 4]","[1, 5]","[6.0, 7.0]","dawson warmup, add goblet squats next time","single was right on target, keep the same back position throughout, more upright position is necessary to stay over midfoot, slight right quad irritation from now doing a type of squat in warmup, last set rpe 7"
4,5/5/20,comp deadlift,"[495.0, 435.0]","[1, 3]","[3, 5]","[7.0, 6.0]",dawson warmup + goblet squats,"top triple was right on rpe,  were fine rpe but form sucked from being rushed, feet were pointed too far forwards, need to open more"
5,5/5/20,comp bench,[240.0],[4],[5],[7.0],dawson warmup + goblet squats,"right on rpe target, fatigue made back position harder to keep but was manageable"
6,5/6/20,high bar,[325.0],[3],[7],[6.0],dawson warmup,"rpe 7/8, video says 6, keep weight same next week"
7,5/7/20,beltless conventional deadlift,"[365.0, 315.0]","[1, 3]","[4, 5]","[7.0, 6.0]",no mobility,"less weight than anticipated, but need to readjust to the movement pattern and can make a bigger jump next week, start with hips more behind bar and vertical shin angle"
8,5/7/20,comp bench,"[315.0, 275.0]","[1, 5]","[1, 2]","[9.0, 8.0]",no mobility,"single was so much smoother than my last 315, 320 was there @10, doubles were right above rpe target @7.5, lost some upper back position on the last set"
9,5/7/20,machine chest flys,[110.0],[4],[12],[None],no mobility,felt great with no shoulder pain
10,5/8/20,comp squat,"[455.0, 415.0]","[1, 4]","[1, 2]","[8.0, 8.0]","foam rolling, mobility, warmup","thought the single on program was @9, whoops!  were decent, just harder because no food and bad sleep"
11,5/8/20,comp bench,[245.0],[3],[3],[6.0],"foam rolling, mobility, warmup","easy money, sore af tho"
12,5/8/20,pull ups,[0.0],[3],[5],[None],"foam rolling, mobility, warmup",focus on adding a rep each week
13,5/11/20,pause comp squat,[315.0],[3],[3],[None],"foam rolling, warmup, mobility","much more solid pauses than week 1, felt great go up 5 next week"
14,5/11/20,comp bench,"[295.0, 320.0]","[1, 1]","[1, 1]","[7.0, 10.0]","foam rolling, warmup, mobility","nice pr and was clean, 295 was @7, strength trending very upward"
15,5/11/20,close grip bench,[235.0],[3],[7],[7.0],"foam rolling, warmup, mobility","great sets, right on target rpe"
16,5/11/20,rear delt flys,[75.0],[4],[12],[None],"foam rolling, warmup, mobility",have palms open and facing each other
17,5/12/20,comp squat,"[435.0, 385.0]","[1, 4]","[1, 4]","[7.0, 7.0]","foam rolling, mobility, warmup","single felt like @8 but video dictates @7, speed on  is great just feels hard, speed dictates rpe 7 on last set of"
18,5/13/20,comp deadlift,"[515.0, 440.0]","[1, 3]","[2, 5]","[7.0, None]","foam rolling, mobility, warmup","didn’t eat before so the single was @8.5, did the lower end of  and don’t know what’s going on with elbow/bicep area, no lower body pain so big improvement from last week"
19,5/13/20,comp bench,[250.0],[4],[4],[7.0],"foam rolling, mobility, warmup",right on target rpe
20,5/13/20,t bar row,[180.0],[3],[10],[None],"foam rolling, mobility, warmup",full protraction
21,5/15/20,comp squat,"[465.0, 425.0]","[1, 4]","[1, 2]","[8.0, 8.0]","foam rolling, mobility, warmup","single was perfect rpe,  we’re perfect rpe, 0 pain at all today, think about tight glutes to engage everything ( don’t fart )"
22,5/15/20,comp bench,"[305.0, 280.0]","[1, 5]","[1, 2]","[8.0, 8.0]","foam rolling, mobility, warmup","single was right on target, no pain on anything, just above average soreness because of day sequences,  were great target for rpe"
23,5/16/20,high bar,[325.0],[4],[6],[6.0],"foam rolling, mobility, warmup","death, but did at the correct rpe"
24,5/16/20,conventional deadlift,"[475.0, 345.0]","[1, 3]","[1, 5]","[9.0, 7.0]","foam rolling, mobility, warmup","did a single instead of 5 because of high bar fatigue and was very smooth,  were @6"
25,5/16/20,comp bench,[245.0],[3],[3],[6.0],"foam rolling, mobility, warmup",right at prescribed rpe
26,5/18/20,comp squat,"[445.0, 395.0]","[1, 4]","[1, 4]","[6.0, None]","foam rolling, mobility, warmup","single was very easy just couldn’t focus because of shitting pants, sets were prescribed rpe 8"
27,5/18/20,comp bench,[295.0],[1],[1],[8.0],"foam rolling, mobility, warmup","pec and shoulder felt terrible, need to rearrange heavy and light single days, was 8.5"
28,5/18/20,close grip bench,[240.0],[3],[8],[None],"foam rolling, mobility, warmup","sets were rpe 8,9,9"
29,5/20/20,comp deadlift,"[515.0, 445.0]","[1, 3]","[3, 5]","[9.0, 8.0]",no mobility,"triple was slightly overshot, very slow but no form breakdown,  were right on rpe, last set was best set"
30,5/21/20,comp bench,"[305.0, 325.0, 290.0, 280.0]","[1, 1, 2, 2]","[1, 1, 2, 2]","[9.0, 10.0, 9.0, 8.0]",warmup,slight overshoot on  but very nice increase
31,5/21/20,high bar,[330.0],[3],[7],[7.0],warmup,hard but okay sets
32,5/23/20,comp squat,"[455.0, 435.0, 405.0]","[1, 3, 1]","[1, 2, 3]","[7.0, 9.0, 6.0]","mobility, warmup","single was way too fast and loose in the hole but moved and felt like a 7, last rep of  was misgrooved but good other than that, fitness set was very easy and technically sound for the most part, cue “just man the weight up” to have a more direct and intentional bar path"
33,5/23/20,beltless conventional deadlift,"[425.0, 365.0]","[1, 3]","[5, 6]","[8.0, 7.0]","mobility, warmup","top set of 5 was right on the money, maybe a 7/7.5 even,  were cake"
34,5/23/20,comp bench,[260.0],[4],[5],[8.0],"mobility, warmup",sets got easier as it went
35,5/25/20,comp squat,"[455.0, 405.0, 365.0]","[1, 3, 1]","[1, 4, 5]","[7.0, 8.0, None]","foam rolling, mobility, warmup","felt great, form finally coming together entirely, drive knees forward on ascent"
36,5/25/20,comp bench,"[305.0, 240.0, 225.0]","[1, 3, 1]","[1, 8, 8]","[9.0, None, 8.0]","foam rolling, mobility, warmup","single was supposed to be @7 but ego played too large of a role, accidentally misloaded second set of  /2.5lb, last set was perfect rpe"
37,5/26/20,pause comp squat,[315.0],[3],[3],[6.0],"mobility, warmup",wider stance feels much better with knee forward cue
38,5/26/20,comp bench,[245.0],[3],[3],[6.0],"mobility, warmup",need to make a variation in future
39,5/27/20,comp deadlift,"[545.0, 585.0]","[1, 1]","[1, 1]","[9.0, 10.0]","mobility, warmup","wanted 6 beans, wasn’t there today, sike."
40,6/1/20,comp squat,"[405.0, 315.0]","[1, 3]","[1, 5]","[6.0, 6.0]",no moblity,all easy and great feeling
41,6/4/20,ssb squat,"[330.0, 240.0]","[1, 3]","[1, 3]","[6.5, None]","foam rolling, mobility, warmup",decided to get some practice before ssb starts next block
